联赛,预测类型,模型,验证胜出算法,验证首选命中率,验证Top3,验证Top5,验证LogLoss,最终测试首选命中率,最终测试Top3,最终测试Top5,最终测试LogLoss,简单基线,相对基线优势,相对基线P值,高置信度门槛,高置信度命中率,高置信度覆盖率,高置信度样本数,训练样本,验证样本,最终测试样本,状态,备注,高置信度验证集达标,高置信度最终测试达标,高置信度验证达标
英超,胜平负,英超胜平负模型,现有模型同参数重新训练,0.5533399800598205,1.0,1.0,0.9644998345134506,0.543369890329013,1.0,1.0,0.9714360875373724,0.4416749750747756,0.1016949152542373,3.6280851742252174e-10,,,,,4686.0,1003.0,1003.0,,,,,
西甲,胜平负,西甲胜平负模型,赔率概率融合 C=0.01/模型权重=0.60,0.5480769230769231,1.0,1.0,0.9850546357623092,0.5405982905982906,1.0,1.0,0.9707351805400584,0.4615384615384615,0.079059829059829,1.038089763497124e-08,,,,,4371.0,936.0,936.0,,,,,
德甲,胜平负,德甲胜平负模型,赔率概率融合 C=0.03/模型权重=0.15,0.5404624277456648,1.0,1.0,0.973023857595151,0.5202312138728323,1.0,1.0,0.9851908941133972,0.4176300578034682,0.1026011560693641,2.0563993571295512e-08,,,,,3234.0,692.0,692.0,,,,,
意甲,胜平负,意甲胜平负模型,赔率概率融合 C=0.01/模型权重=0.15,0.5484221980413493,1.0,1.0,0.9675218800122992,0.5418933623503809,1.0,1.0,0.9611856562648808,0.4026115342763873,0.1392818280739935,8.594671943244994e-16,,,,,4294.0,919.0,919.0,,,,,
法甲,胜平负,法甲胜平负模型,现有模型同参数重新训练,0.512735326688815,1.0,1.0,0.9889917311828316,0.5437430786267996,1.0,1.0,0.9829600147930656,0.4341085271317829,0.1096345514950166,3.1071999323141926e-10,,,,,4218.0,903.0,903.0,,,,,
葡超,胜平负,葡超胜平负模型,现有模型同参数重新训练,0.5352564102564102,1.0,1.0,0.95066653489155,0.5737179487179487,1.0,1.0,0.9093239254582416,0.4198717948717949,0.1538461538461538,3.748661169432698e-08,,,,,1460.0,312.0,312.0,,,,,
瑞超,胜平负,瑞超胜平负模型,现有模型同参数重新训练,0.532258064516129,1.0,1.0,0.9896055032168196,0.5080645161290323,1.0,1.0,1.0167244886974038,0.4059139784946236,0.1021505376344086,0.0002471158410645,,,,,1736.0,372.0,372.0,,,,,
日职,胜平负,日职胜平负模型,现有模型同参数重新训练,0.481335952848723,1.0,1.0,1.057132958977532,0.4518664047151277,1.0,1.0,1.0391376137542905,0.4282907662082514,0.0235756385068762,0.2985928528328462,,,,,2379.0,509.0,509.0,,,,,
英超,大小球,英超大小球模型,泊松总进球 alpha=0.01/半衰期4年,0.5682951146560319,1.0,1.0,0.6842288147641631,0.551345962113659,1.0,1.0,0.6803048738616372,0.5892323030907278,-0.0378863409770687,0.0427524133374742,,,,,4686.0,1003.0,1003.0,,,,,
西甲,大小球,西甲大小球模型,非线性泊松 叶节点=7/叶样本=40,0.5779914529914529,1.0,1.0,0.6853541580108646,0.5694444444444444,1.0,1.0,0.675220381441084,0.5149572649572649,0.0544871794871795,0.0097305515919548,,,,,4371.0,936.0,936.0,,,,,
德甲,大小球,德甲大小球模型,现有模型同参数重新训练,0.6213872832369942,1.0,1.0,0.6579080787863529,0.6069364161849711,1.0,1.0,0.651197271840239,0.6026011560693642,0.0043352601156069,0.7428293587290682,,,,,3234.0,692.0,692.0,,,,,
意甲,大小球,意甲大小球模型,现有模型同参数重新训练,0.5571273122959739,1.0,1.0,0.6865519841013829,0.5408052230685527,1.0,1.0,0.6897471632751954,0.4798694232861806,0.060935799782372,0.0213856045363805,,,,,4294.0,919.0,919.0,,,,,
法甲,大小球,法甲大小球模型,泊松总进球 alpha=0.01/半衰期8年,0.5758582502768549,1.0,1.0,0.6785661881461523,0.5492801771871539,1.0,1.0,0.6826646034915215,0.4573643410852713,0.0919158361018826,7.755504312645832e-05,,,,,4218.0,903.0,903.0,,,,,
葡超,大小球,葡超大小球模型,现有模型同参数重新训练,0.6057692307692307,1.0,1.0,0.662967366844631,0.5512820512820513,1.0,1.0,0.6865601562394986,0.4519230769230769,0.0993589743589744,0.0015165131944572,,,,,1460.0,312.0,312.0,,,,,
瑞超,大小球,瑞超大小球模型,时间衰减逻辑回归 C=0.01/半衰期8年,0.6129032258064516,1.0,1.0,0.6649527731365781,0.543010752688172,1.0,1.0,0.6900390105576134,0.5483870967741935,-0.0053763440860215,0.9170405196524722,,,,,1736.0,372.0,372.0,,,,,
日职,大小球,日职大小球模型,现有模型同参数重新训练,0.5599214145383105,1.0,1.0,0.6926577449992123,0.5461689587426326,1.0,1.0,0.6817074377251156,0.4774066797642436,0.0687622789783889,0.0638517265785745,,,,,2379.0,509.0,509.0,,,,,
英超,准确比分,英超比分模型,"泊松/Dixon-Coles alpha=0.01, rho=0.00",0.1216350947158524,0.3130608175473579,0.4805583250249252,2.914182796975195,0.1236291126620139,0.2941176470588235,0.4456630109670987,2.9871761635724527,0.1086739780658025,0.0149551345962113,0.1006436775202357,,,,,4686.0,1003.0,1003.0,,,,,
西甲,准确比分,西甲比分模型,非线性泊松 rho=0.05/叶节点=15,0.1623931623931624,0.3782051282051282,0.5427350427350427,2.782666799543923,0.157051282051282,0.3856837606837607,0.5587606837606838,2.7997126308952667,0.1431623931623931,0.0138888888888888,0.4217024755133565,,,,,4371.0,936.0,936.0,,,,,
德甲,准确比分,德甲比分模型,非线性泊松 rho=-0.15/叶节点=15,0.1228323699421965,0.2716763005780346,0.4219653179190751,3.085571176253112,0.1358381502890173,0.3034682080924855,0.4378612716763005,3.0316285574167745,0.1242774566473988,0.0115606936416184,0.2912152365458951,,,,,3234.0,692.0,692.0,,,,,
意甲,准确比分,意甲比分模型,自动Dixon-Coles alpha=0.1/均值收缩=0.00,0.1512513601741023,0.3558215451577802,0.5081610446137106,2.862819145064071,0.1403699673558215,0.3884657236126224,0.5549510337323177,2.76441113537496,0.1218715995647442,0.0184983677910772,0.0137181850586785,,,,,4294.0,919.0,919.0,,,,,
法甲,准确比分,法甲比分模型,非线性泊松 rho=-0.15/叶节点=31,0.1539313399778516,0.335548172757475,0.486157253599114,2.931420262866895,0.1018826135105204,0.292358803986711,0.4706533776301218,2.9883481694337286,0.1040974529346622,-0.0022148394241417,0.8938530948350216,,,,,4218.0,903.0,903.0,,,,,
葡超,准确比分,葡超比分模型,非线性泊松 rho=0.05/叶节点=15,0.1762820512820513,0.375,0.5416666666666666,2.880569924286614,0.141025641025641,0.3237179487179487,0.4967948717948718,2.852153990841589,0.0929487179487179,0.048076923076923,0.0200738519197329,,,,,1460.0,312.0,312.0,,,,,
瑞超,准确比分,瑞超比分模型,"泊松/Dixon-Coles alpha=0.01, rho=0.00",0.1236559139784946,0.3306451612903225,0.489247311827957,2.882601285521189,0.1155913978494623,0.3225806451612903,0.4489247311827957,2.9656893592791187,0.1182795698924731,-0.0026881720430107,1.0,,,,,1736.0,372.0,372.0,,,,,
日职,准确比分,日职比分模型,非线性泊松 rho=0.00/叶节点=7,0.1355599214145383,0.3280943025540275,0.5009823182711198,2.9299619647823367,0.1277013752455795,0.3182711198428291,0.5029469548133595,2.901413444470319,0.1100196463654224,0.0176817288801571,0.2326931919083108,,,,,2379.0,509.0,509.0,,,,,
英超,半全场,英超半全场模型,半全场条件概率链 C=0.1/半衰期4年,0.333000997008973,0.6590229312063809,0.8654037886340977,1.8359162993221945,0.3210368893320039,0.6370887337986042,0.8315054835493519,1.9026321471973853,0.2701894317048853,0.0508474576271186,4.848718134555307e-06,,,,,4686.0,1003.0,1003.0,,,,,
西甲,半全场,西甲半全场模型,半全场条件概率链 C=0.1/半衰期8年,0.313034188034188,0.6602564102564102,0.8611111111111112,1.8667994889184072,0.3034188034188034,0.6474358974358975,0.842948717948718,1.879220580045072,0.2702991452991453,0.0331196581196581,0.002394629357506,,,,,4371.0,936.0,936.0,,,,,
德甲,半全场,德甲半全场模型,半全场条件概率链 C=0.03/半衰期8年,0.3439306358381503,0.6242774566473989,0.8410404624277457,1.8687165093732088,0.3367052023121387,0.6430635838150289,0.8236994219653179,1.8921981425698169,0.26878612716763,0.0679190751445086,8.187199365843673e-07,,,,,3234.0,692.0,692.0,,,,,
意甲,半全场,意甲半全场模型,半全场条件概率链 C半场=0.03/C全场=0.1,0.3438520130576714,0.6441784548422198,0.8302502720348205,1.8686648902111265,0.3166485310119695,0.6561479869423286,0.8411316648531012,1.8758948782007607,0.2165397170837867,0.1001088139281828,5.5233366307517786e-14,,,,,4294.0,919.0,919.0,,,,,
法甲,半全场,法甲半全场模型,半全场条件概率链 C=0.1/半衰期8年,0.3200442967884828,0.6157253599114064,0.8272425249169435,1.9142313349318,0.3366555924695459,0.6478405315614618,0.8394241417497231,1.870095106643787,0.2702104097452935,0.0664451827242524,2.729862604765941e-07,,,,,4218.0,903.0,903.0,,,,,
葡超,半全场,葡超半全场模型,半全场条件概率链 C=0.1/半衰期8年,0.3269230769230769,0.657051282051282,0.8269230769230769,1.842839730373115,0.3429487179487179,0.6762820512820513,0.8333333333333334,1.8173334879113177,0.2435897435897435,0.0993589743589743,4.7104376093953786e-05,,,,,1460.0,312.0,312.0,,,,,
韩职,半全场,韩职半全场模型,半全场条件概率链 C=0.03/半衰期8年,0.3636363636363636,0.5454545454545454,0.5454545454545454,2.312120240576488,0.1818181818181818,0.7272727272727273,0.9090909090909092,1.9961923882630004,0.2727272727272727,-0.0909090909090908,1.0,,,,,54.0,11.0,11.0,,,,,
瑞超,半全场,瑞超半全场模型,半全场条件概率链 C半场=0.03/C全场=0.1,0.2838427947598253,0.6462882096069869,0.8602620087336245,1.8835364330596247,0.3070175438596491,0.6578947368421053,0.8552631578947368,1.8728159389234795,0.2543859649122807,0.0526315789473684,0.0576126729138195,,,,,1069.0,229.0,228.0,,,,,
日职,半全场,日职半全场模型,半全场条件概率链 C半场=0.03/C全场=0.1,0.2699228791773779,0.5861182519280206,0.8406169665809768,1.963085639136588,0.2365038560411311,0.6349614395886889,0.8791773778920309,1.910706484355873,0.2313624678663239,0.0051413881748071,0.8990763136528589,,,,,1820.0,389.0,389.0,,,,,
韩职,胜平负,韩职胜平负模型,赔率概率融合 C=0.01/模型权重=0.15,0.4801980198019802,1.0,1.0,1.049234358791394,0.4554455445544554,1.0,1.0,1.0462716045858698,0.4059405940594059,0.0495049504950494,0.2528543941881107,,,,,947.0,202.0,202.0,,,,,
韩职,大小球,韩职大小球模型,非线性泊松 叶节点=7/叶样本=40,0.5643564356435643,1.0,1.0,0.6981404970893148,0.5247524752475248,1.0,1.0,0.7246174390714457,0.504950495049505,0.0198019801980198,0.7275470834894697,,,,,947.0,202.0,202.0,,,,,
韩职,准确比分,韩职比分模型,非线性泊松 rho=0.00/叶节点=31,0.1287128712871287,0.3168316831683168,0.4900990099009901,3.03854512000054,0.0841584158415841,0.2821782178217821,0.4257425742574257,2.967473282799585,0.0891089108910891,-0.0049504950495049,1.0,,,,,947.0,202.0,202.0,,,,,
英超,让球胜负,英超让球胜负模型,"专用进球分布 alpha=0.1, rho=0.00",0.4955134596211366,0.7716849451645065,,1.03380086342104,0.4915254237288136,0.7637088733798604,,1.0332134414237892,,,,,,,,4686.0,1003.0,1003.0,,历史为赛前赔率±1代理盘口；当天预测使用官方真实让球数,,,
西甲,让球胜负,西甲让球胜负模型,"专用进球分布 alpha=0.01, rho=0.00",0.4775641025641026,0.7403846153846154,,1.048939422701672,0.5,0.7777777777777778,,1.031797481433173,,,,,,,,4371.0,936.0,936.0,,历史为赛前赔率±1代理盘口；当天预测使用官方真实让球数,,,
德甲,让球胜负,德甲让球胜负模型,"专用进球分布 alpha=0.01, rho=0.00",0.5173410404624278,0.7846820809248555,,1.021324608959964,0.5317919075144508,0.7774566473988439,,1.0112738081739916,,,,,,,,3234.0,692.0,692.0,,历史为赛前赔率±1代理盘口；当天预测使用官方真实让球数,,,
意甲,让球胜负,意甲让球胜负模型,"专用进球分布 alpha=0.01, rho=0.00",0.4896626768226333,0.7714907508161044,,1.0309307539020975,0.4907508161044613,0.7682263329706203,,1.0334719579166485,,,,,,,,4294.0,919.0,919.0,,历史为赛前赔率±1代理盘口；当天预测使用官方真实让球数,,,
法甲,让球胜负,法甲让球胜负模型,"专用进球分布 alpha=0.01, rho=0.00",0.53156146179402,0.7751937984496124,,1.006654648286442,0.4850498338870432,0.7530454042081949,,1.0488285345905983,,,,,,,,4218.0,903.0,903.0,,历史为赛前赔率±1代理盘口；当天预测使用官方真实让球数,,,
葡超,让球胜负,葡超让球胜负模型,"专用进球分布 alpha=0.1, rho=-0.10",0.5576923076923077,0.782051282051282,,0.981460684323214,0.5352564102564102,0.7371794871794872,,1.0308277696269703,,,,,,,,1460.0,312.0,312.0,,历史为赛前赔率±1代理盘口；当天预测使用官方真实让球数,,,
瑞超,让球胜负,瑞超让球胜负模型,"专用进球分布 alpha=0.1, rho=-0.10",0.5630026809651475,0.7801608579088471,,0.9791986243676976,0.5013404825737265,0.7694369973190348,,1.030488083827664,,,,,,,,1742.0,373.0,373.0,,历史为赛前赔率±1代理盘口；当天预测使用官方真实让球数,,,
日职,让球胜负,日职让球胜负模型,"专用进球分布 alpha=0.01, rho=-0.05",0.5461689587426326,0.7858546168958742,,0.9890356939541072,0.5540275049115914,0.7996070726915521,,0.973966332014598,,,,,,,,2379.0,509.0,509.0,,历史为赛前赔率±1代理盘口；当天预测使用官方真实让球数,,,
韩职,让球胜负,韩职让球胜负模型,"专用进球分布 alpha=0.01, rho=0.00",0.5259259259259259,0.7851851851851852,,1.0114010435300416,0.562962962962963,0.8,,0.9760138531282716,,,,,,,,1265.0,270.0,270.0,,历史为赛前赔率±1代理盘口；当天预测使用官方真实让球数,,,
英超,半场胜平负,英超半场胜平负模型,时间衰减半场逻辑回归 C=0.03/半衰期8年,0.4546360917248255,1.0,1.0,1.0274350834432375,0.4307078763708873,1.0,1.0,1.0426330276289346,0.3778664007976072,0.0528414755732801,0.0065612295573984,0.4700000000000001,0.5506072874493927,0.2462612163509471,247.0,4686.0,1003.0,1003.0,,,True,True,True
英冠,半场胜平负,英冠半场胜平负模型,现有模型同参数重新训练,0.4333565945568737,1.0,1.0,1.0533018777418,0.459874389392882,1.0,1.0,1.0493160436462885,0.4277739009071877,0.0321004884856943,0.0058786935781587,0.5100000000000001,0.6190476190476191,0.0586182833217027,84.0,6690.0,1433.0,1433.0,,,True,True,True
西甲,半场胜平负,西甲半场胜平负模型,现有模型同参数重新训练,0.4700854700854701,1.0,1.0,1.0228239540274786,0.4594017094017094,1.0,1.0,1.0349504175966868,0.4305555555555556,0.0288461538461538,0.0609921568611686,0.5200000000000001,0.5643564356435643,0.1079059829059829,101.0,4371.0,936.0,936.0,,,False,True,False
德甲,半场胜平负,德甲半场胜平负模型,时间衰减半场逻辑回归 C=0.1/半衰期4年,0.4855491329479768,1.0,1.0,1.0340574110063223,0.434971098265896,1.0,1.0,1.0472578264202026,0.3641618497109826,0.0708092485549133,0.0055744376791343,0.45,0.4769230769230769,0.4696531791907514,325.0,3234.0,692.0,692.0,,,True,False,False
意甲,半场胜平负,意甲半场胜平负模型,时间衰减半场逻辑回归 C=0.1/半衰期8年,0.4319912948857454,1.0,1.0,1.032618744357052,0.4515778019586507,1.0,1.0,1.0366605950803185,0.4352557127312296,0.0163220892274211,0.3549162235969877,0.5200000000000001,0.4831460674157303,0.0968443960826985,89.0,4294.0,919.0,919.0,,,True,False,False
法甲,半场胜平负,法甲半场胜平负模型,现有模型同参数重新训练,0.4496124031007752,1.0,1.0,1.0386900036777036,0.4385382059800664,1.0,1.0,1.054474091258405,0.388704318936877,0.0498338870431893,0.0087913018418682,0.5000000000000001,0.5035460992907801,0.1561461794019933,141.0,4218.0,903.0,903.0,,,True,False,False
葡超,半场胜平负,葡超半场胜平负模型,时间衰减半场逻辑回归 C=0.03/半衰期8年,0.4647435897435897,1.0,1.0,1.0358828281842614,0.532051282051282,1.0,1.0,0.9916587148340624,0.4326923076923077,0.0993589743589743,0.0029291945870261,0.5300000000000001,0.6,0.1762820512820513,55.0,1460.0,312.0,312.0,,,True,True,True
瑞超,半场胜平负,瑞超半场胜平负模型,时间衰减半场逻辑回归 C=0.1/半衰期4年,0.4104803493449782,1.0,1.0,1.0897703094632047,0.4429824561403508,1.0,1.0,1.054494887204781,0.4342105263157895,0.0087719298245613,0.9075606176124984,0.5800000000000002,0.5555555555555556,0.0394736842105263,9.0,1069.0,229.0,228.0,,,False,False,False
日职,半场胜平负,日职半场胜平负模型,现有模型同参数重新训练,0.3942028985507246,1.0,1.0,1.0980333125260953,0.4492753623188406,1.0,1.0,1.0750342982349153,0.408695652173913,0.0405797101449275,0.0335524396796245,0.5300000000000001,0.4285714285714285,0.081159420289855,28.0,1615.0,345.0,345.0,,,False,False,False
韩职,半场胜平负,韩职半场胜平负模型,时间衰减半场逻辑回归 C=0.03/半衰期8年,0.5833333333333334,1.0,1.0,1.0538183094093634,0.4583333333333333,1.0,1.0,1.140101199505711,0.5416666666666666,-0.0833333333333333,0.625,0.5400000000000001,0.4545454545454545,0.4583333333333333,11.0,112.0,24.0,24.0,,,True,False,False
