联赛,任务,模型,算法,验证命中率,测试命中率,测试LogLoss,测试Brier,测试样本
英超,胜平负,英超胜平负模型,市场融合 权重=0.0,0.5533399800598205,0.543369890329013,0.9714360875373723,0.5789632175017736,1003
英超,大小球,英超大小球模型,泊松 alpha=0.01/收缩=0.0,0.5682951146560319,0.551345962113659,0.6803048738616372,0.4873061898680543,1003
英超,比分,英超比分模型,泊松 alpha=0.1/收缩=0.0,0.11864406779661017,0.1226321036889332,2.992139192647064,0.9375498489161835,1003
西甲,胜平负,西甲胜平负模型,市场融合 权重=0.15,0.5438034188034188,0.5384615384615384,0.9678806884649228,0.574388553628158,936
西甲,大小球,西甲大小球模型,泊松 alpha=1.0/收缩=0.0,0.5683760683760684,0.5480769230769231,0.6819084458487773,0.4889490859512548,936
西甲,比分,西甲比分模型,泊松 alpha=0.1/收缩=0.0,0.14957264957264957,0.16025641025641027,2.7988591152666573,0.9190514350575295,936
德甲,胜平负,德甲胜平负模型,市场融合 权重=0.15,0.5404624277456648,0.5216763005780347,0.9851175971471584,0.5862912542807004,692
德甲,大小球,德甲大小球模型,泊松 alpha=0.01/收缩=0.0,0.6213872832369942,0.6069364161849711,0.651197271840239,0.4600063679051805,692
德甲,比分,德甲比分模型,泊松 alpha=1.0/收缩=0.0,0.11127167630057803,0.13583815028901733,3.037333249680203,0.9386643874753783,692
意甲,胜平负,意甲胜平负模型,市场融合 权重=0.15,0.5484221980413493,0.544069640914037,0.9608239043006713,0.5720396945790915,919
意甲,大小球,意甲大小球模型,泊松 alpha=0.01/收缩=0.1,0.5571273122959739,0.5408052230685527,0.6897471632751954,0.4966240965271887,919
意甲,比分,意甲比分模型,泊松 alpha=0.1/收缩=0.0,0.14907508161044614,0.14145810663764963,2.763875946739692,0.9189420352841241,919
法甲,胜平负,法甲胜平负模型,市场融合 权重=0.0,0.512735326688815,0.5437430786267996,0.9829600147930657,0.5856308839984959,903
法甲,大小球,法甲大小球模型,泊松 alpha=0.01/收缩=0.0,0.5703211517165006,0.5448504983388704,0.6835118983473013,0.49073253207117695,903
法甲,比分,法甲比分模型,泊松 alpha=0.1/收缩=0.0,0.13842746400885936,0.11074197120708748,2.9352844775686386,0.9332996121189171,903
瑞超,胜平负,瑞超胜平负模型,时间逻辑回归 C=0.03/半衰期=4.0,0.532258064516129,0.5080645161290323,1.0167244886974038,0.6087081740270098,372
瑞超,大小球,瑞超大小球模型,泊松 alpha=1.0/收缩=0.1,0.5994623655913979,0.5161290322580645,0.6857103729810996,0.4928563782918315,372
瑞超,比分,瑞超比分模型,泊松 alpha=0.01/收缩=0.0,0.12096774193548387,0.11827956989247312,2.9682452461840723,0.9337879263089502,372
葡超,胜平负,葡超胜平负模型,市场融合 权重=0.0,0.5352564102564102,0.5737179487179487,0.9093239254582415,0.5356757531919967,312
葡超,大小球,葡超大小球模型,泊松 alpha=0.1/收缩=0.0,0.6057692307692307,0.5512820512820513,0.6865601562394986,0.4936104221200029,312
葡超,比分,葡超比分模型,泊松 alpha=1.0/收缩=0.0,0.15384615384615385,0.16666666666666666,2.8176407225760896,0.9228880797590313,312
日职,胜平负,日职胜平负模型,时间逻辑回归 C=0.1/半衰期=8.0,0.481335952848723,0.4518664047151277,1.0391376137542905,0.6242898048480469,509
日职,大小球,日职大小球模型,泊松 alpha=0.1/收缩=0.0,0.5599214145383105,0.5461689587426326,0.6817074377251156,0.4886724740917753,509
日职,比分,日职比分模型,泊松 alpha=0.01/收缩=0.0,0.13163064833005894,0.13555992141453832,2.887825609894626,0.9254973142087922,509
韩职,胜平负,韩职胜平负模型,时间逻辑回归 C=0.03/半衰期=8.0,0.5454545454545454,0.36363636363636365,1.108423274810803,0.6787998562394996,11
韩职,大小球,韩职大小球模型,泊松 alpha=1.0/收缩=0.0,0.45454545454545453,0.5454545454545454,0.6801308809972568,0.48729938125540534,11
韩职,比分,韩职比分模型,泊松 alpha=0.01/收缩=0.1,0.09090909090909091,0.0,3.5332090686045787,0.9683678560736712,11
